id|start|end|mean|min|max|mean_of_abs|stddev|variance|coeff_var|sum|null_cells|cells|non_null_cells
db_s1a_iw_grd_vh_20160127t044326_20160127t044351_009675_00e1c8_002@scaled|2016-01-27 04:43:26|2016-01-27 04:43:27|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20160127t044351_20160127t044416_009675_00e1c8_002@scaled|2016-01-27 04:43:51|2016-01-27 04:43:52|-13.8700116646805|-44.6485953617152|5.601229145392|13.8700921765283|2.21815778453328|4.92022395708559|-15.9924723796862|-14530543.2301876|11046387|12094010|1047623
db_s1a_iw_grd_vh_20160130t161902_20160130t161927_009726_00e33e_002@scaled|2016-01-30 16:19:02|2016-01-30 16:19:03|-15.0570400297793|-87.093887711228|-3.48201012289111|15.0570400297793|2.85581760528585|8.15569419466059|-18.9666601114011|-4755570.35188541|11778173|12094010|315837
db_s1a_iw_grd_vh_20160203t043536_20160203t043601_009777_00e4bd_002@scaled|2016-02-03 04:35:36|2016-02-03 04:35:37|-13.9166665853472|-34.7688470987236|2.90010726585633|13.9166858653892|2.04678659418691|4.18933536214324|-14.707448666924|-14579461.7481409|11046384|12094010|1047626
db_s1a_iw_grd_vh_20160206t161042_20160206t161107_009828_00e62b_002@scaled|2016-02-06 16:10:42|2016-02-06 16:10:43|-14.1688103812044|-37.8392212008884|-2.16314945093721|14.1688103812044|2.09088065534863|4.37178191491113|-14.7569245342028|-14843599.9756093|11046385|12094010|1047625
db_s1a_iw_grd_vh_20160211t161852_20160211t161917_009901_00e852_002@scaled|2016-02-11 16:18:52|2016-02-11 16:18:53|-14.7843731524191|-94.4951854881584|-6.27287065817363|14.7843731524191|2.89317757643591|8.37047648879159|-19.5691595890389|-4750071.25014073|11772720|12094010|321290
db_s1a_iw_grd_vh_20160215t043536_20160215t043601_009952_00e9d4_002@scaled|2016-02-15 04:35:36|2016-02-15 04:35:37|-13.9730557902871|-33.0568385947825|2.41091981161052|13.9730698260058|2.06210634745891|4.25228258823031|-14.7577335867528|-14638536.5453553|11046384|12094010|1047626
db_s1a_iw_grd_vh_20160218t161042_20160218t161107_010003_00eb54_002@scaled|2016-02-18 16:10:42|2016-02-18 16:10:43|-14.2471636114944|-39.5107201799695|-2.70275679430351|14.2471636114944|2.09190837965964|4.37608066889022|-14.6829813758292|-14925699.0256554|11046384|12094010|1047626
db_s1a_iw_grd_vh_20160220t044326_20160220t044351_010025_00ebfb_002@scaled|2016-02-20 04:43:26|2016-02-20 04:43:27|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20160220t044351_20160220t044416_010025_00ebfb_002@scaled|2016-02-20 04:43:51|2016-02-20 04:43:52|-13.67001545077|-51.8364589640301|5.89500735400064|13.6701098599186|2.09816693238297|4.40230447614535|-15.3486800357989|-14321063.6066284|11046384|12094010|1047626
db_s1a_iw_grd_vh_20160223t161902_20160223t161927_010076_00ed6f_002@scaled|2016-02-23 16:19:02|2016-02-23 16:19:03|-15.1028857972928|-80.3810663803245|-3.59375585370302|15.1028857972928|2.90582333576466|8.44380925867446|-19.2401861125477|-4854792.43376817|11772562|12094010|321448
db_s1a_iw_grd_vh_20160227t043536_20160227t043601_010127_00eeec_002@scaled|2016-02-27 04:35:36|2016-02-27 04:35:37|-17.3334401701606|-58.0710315308185|2.07358578904068|17.3334524577529|2.22030320343651|4.92974631519042|-12.8093626056918|-18158875.9245038|11046389|12094010|1047621
db_s1a_iw_grd_vh_20160301t161042_20160301t161107_010178_00f048_002@scaled|2016-03-01 16:10:42|2016-03-01 16:10:43|-14.0372045558797|-41.4890193255249|-2.4045197660142|14.0372045558797|2.09177026343595|4.37550283499492|-14.9016155966736|-14705698.3484444|11046387|12094010|1047623
db_s1a_iw_grd_vh_20160303t044326_20160303t044351_010200_00f0ed_002@scaled|2016-03-03 04:43:26|2016-03-03 04:43:27|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20160303t044351_20160303t044416_010200_00f0ed_002@scaled|2016-03-03 04:43:51|2016-03-03 04:43:52|-14.0307395070065|-37.0019855413154|8.56122472577887|14.0309823413433|2.11014414684943|4.45270832048292|-15.03943641599|-14698953.4760277|11046385|12094010|1047625
db_s1a_iw_grd_vh_20160306t161902_20160306t161927_010251_00f261_002@scaled|2016-03-06 16:19:02|2016-03-06 16:19:03|-14.6917831959023|-87.9926260092758|-3.58975734948489|14.6917831959023|2.86210520614488|8.19164621104163|-19.4809926608715|-4664949.6921461|11776489|12094010|317521
db_s1a_iw_grd_vh_20160408t044327_20160408t044352_010725_01000a_002@scaled|2016-04-08 04:43:27|2016-04-08 04:43:28|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20160408t044352_20160408t044417_010725_01000a_002@scaled|2016-04-08 04:43:52|2016-04-08 04:43:53|-14.0126677575382|-41.6111183759026|6.54377452246154|14.012779646212|2.19175775906768|4.80380207443337|-15.6412597300654|-14680021.0594909|11046385|12094010|1047625
